archive_timestamp,archive_date,date,age_range,race_ethnicity,cases,deaths
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Latino,13608,589
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,White,8339,613
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Asian,3721,292
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,African American/Black,1977,186
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Multi-Race,249,5
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,American Indian or Alaska Native,71,7
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Native Hawaiian and other Pacific Islander,385,17
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Other,2033,33
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,All,Total,30383,1742
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Latino,481,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,White,96,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Asian,36,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,African American/Black,18,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Multi-Race,8,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,American Indian or Alaska Native,4,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Native Hawaiian and other Pacific Islander,1,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Other,33,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,0_17,Total,677,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Latino,7581,82
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,White,3264,8
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Asian,1644,10
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,African American/Black,802,18
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Multi-Race,150,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,American Indian or Alaska Native,39,1
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Native Hawaiian and other Pacific Islander,185,1
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Other,1037,0
1588267390.0,2020-04-30T17:23:10+00:00,2020-04-28,18_49,Total,14702,120
