1,2182,ALABAMA
2,8849,ALASKA
4,12523,ARIZONA
5,7969,ARKANSAS
6,138911,CALIFORNIA
8,7480,COLORADO
9,752,CONNECTICUT
10,276,DELAWARE
11,340,DISTRICT OF COLUMBIA
12,10770,FLORIDA
13,5070,GEORGIA
15,143274,HAWAII
16,2761,IDAHO
17,3088,ILLINOIS
18,2818,INDIANA
19,3129,IOWA
20,2143,KANSAS
21,2814,KENTUCKY
22,1468,LOUISIANA
23,318,MAINE
24,2265,MARYLAND
25,1698,MASSACHUSETTS
26,2979,MICHIGAN
27,2187,MINNESOTA
28,654,MISSISSIPPI
29,6662,MISSOURI
30,757,MONTANA
31,1091,NEBRASKA
32,17703,NEVADA
33,270,NEW HAMPSHIRE
34,2255,NEW JERSEY
35,1046,NEW MEXICO
36,5591,NEW YORK
37,6939,NORTH CAROLINA
38,366,NORTH DAKOTA
39,3591,OHIO
40,4471,OKLAHOMA
41,16006,OREGON
42,4107,PENNSYLVANIA
44,684,RHODE ISLAND
45,3004,SOUTH CAROLINA
46,236,SOUTH DAKOTA
47,3806,TENNESSEE
48,20381,TEXAS
49,26607,UTAH
50,184,VERMONT
51,5677,VIRGINIA
53,46476,WASHINGTON
54,350,WEST VIRGINIA
55,1975,WISCONSIN
56,434,WYOMING
